line,wave_air,wave_vac,comment
CaIIK,3933.663,3934.777,IS absn line
CaIIH,3968.468,3969.591,IS absn line
OIIf3726,3726.03,3727.09,
OIIf3729,3728.82,3729.88,
NeIIIf1,3868.71,3869.81,
NeIIIf2,3967.41,3968.53,
H12,3750.15,3751.22,
H11,3770.63,3771.7,
H10,3797.9,3798.98,
H9,3835.39,3836.48,
H8,3889.05,3890.15,
H_epsilon,3970.07,3971.19,
H_delta,4101.76,4102.92,
H_gamma,4340.47,4341.69,
H_beta,4861.33,4862.69,
H_alpha,6562.8,6564.61,
OIIIf5007,5006.84,5008.24,
OIIIf4959,4958.92,4960.3,
OIIIf4363,4363.21,4364.44,
NIIf6549,6548.03,6549.84,
NIIf6583,6583.41,6585.23,
NIIf5755,5754.64,5756.24,
SIIf6717,6716.47,6718.32,
SIIf6731,6730.85,6732.71,
NaI1,5889.951,5891.583,IS absn line
NaI2,5895.924,5897.558,IS absn line
HeI1,3888.65,3889.75,
HeI2,5875.67,5877.3,
HeI3,6678.152,6679.996,
OIf6300,6300.3,6302.04,
SIIIf,6312.1,6313.8,Use with [SIII]9069 as T diag
NeIIf1,6583.41,6585.23,
NeIIf2,6548.03,6549.84,
NeIIf3,5754.64,5756.24,
OIf5577,5577.3387,5578.8874,Strong sky line
Mgb1,5167.321,5168.761,
Mgb1,5172.684,5174.125,
Mgb1,5183.604,5185.048,
ArIIIf1,7135.8,7137.8,
ArIIIf2,7751.1,7753.2,
CaII1,8498.03,8500.36,CaII triplet
CaII2,8542.09,8544.44,CaII triplet
CaII3,8662.14,8664.52,CaII triplet
SIIIf1,9068.6,9071.1,Use with [SIII]6312 as Tdiag
SIIIf2,9530.6,9533.2,
P11,8862.783,8865.217,
P10,9014.91,9017.385,
P9,9229.014,9231.547,
P8,9545.972,9548.59,
P7,10049.373,10052.128,
P_gamma,10938.095,10941.091,
P_beta,12818.08,12821.59,
P_alpha,18751.01,18756.13,
DIB4430,4430,4431.2,
DIB5780,5780,5781.6,
DIB5797,5797,5798.6,
DIB6284,6284,6285.7,
